TripID,Destination,StartDate,EndDate,Price,IsInternational
86,Manali,2025-08-07,2025-08-13,49496.74,1
87,Mumbai,2025-08-01,2025-08-06,33630.60,0
88,Varanasi,2025-08-20,2025-08-25,11646.00,0
89,Delhi,2025-11-20,2025-11-23,14279.84,0
90,Mumbai,2025-11-21,2025-11-25,8129.57,0
91,Agra,2025-09-07,2025-09-10,39197.68,1
92,Delhi,2025-10-29,2025-11-07,31027.26,0
93,Varanasi,2025-06-27,2025-07-02,22330.71,0
94,Chennai,2025-06-21,2025-06-28,30700.02,0
95,Goa,2025-08-15,2025-08-22,17279.88,1
96,Varanasi,2025-10-29,2025-11-03,39167.11,0
97,Pondicherry,2025-10-29,2025-11-03,20751.66,1
98,Delhi,2025-09-14,2025-09-21,47960.25,1
99,Varanasi,2025-08-20,2025-08-27,29706.16,0
100,Chennai,2025-09-08,2025-09-16,49298.36,0
101,Kerala,2025-07-31,2025-08-03,43656.24,0
102,Jaipur,2025-07-30,2025-08-02,16123.01,1
103,Kerala,2025-10-19,2025-10-29,37695.11,1
104,Delhi,2025-07-17,2025-07-20,48033.72,0
105,Varanasi,2025-06-11,2025-06-20,47971.41,1
106,Pondicherry,2025-10-18,2025-10-21,25258.33,1
107,Kerala,2025-08-15,2025-08-24,46957.24,0
108,Kerala,2025-06-08,2025-06-18,28672.03,1
109,Chennai,2025-09-08,2025-09-11,32462.31,0
110,Chennai,2025-10-31,2025-11-09,12210.36,1
111,Delhi,2025-09-18,2025-09-25,13023.18,0
112,Goa,2025-06-15,2025-06-23,9018.13,1
113,Goa,2025-06-10,2025-06-19,32203.42,0
114,Chennai,2025-06-12,2025-06-17,49720.04,0
115,Mumbai,2025-10-06,2025-10-13,13065.53,0
116,Varanasi,2025-11-05,2025-11-14,32730.62,1
117,Agra,2025-08-28,2025-09-02,12743.88,0
118,Kerala,2025-08-27,2025-09-05,42718.40,1
119,Manali,2025-08-06,2025-08-09,48739.03,1
120,Jaipur,2025-09-22,2025-10-02,38903.10,1
121,Varanasi,2025-09-16,2025-09-20,20876.65,1
122,Pondicherry,2025-06-22,2025-07-02,43145.46,0
123,Mumbai,2025-09-12,2025-09-15,18128.37,1
124,Pondicherry,2025-07-07,2025-07-12,44312.92,0
125,Delhi,2025-11-14,2025-11-17,38941.73,0
126,Kerala,2025-06-21,2025-06-28,5923.90,1
127,Chennai,2025-11-05,2025-11-09,44918.58,1
128,Chennai,2025-10-19,2025-10-29,23874.10,0
129,Chennai,2025-07-14,2025-07-22,5050.71,1
130,Mumbai,2025-06-01,2025-06-07,12456.28,1
131,Chennai,2025-08-21,2025-08-25,16997.68,1
132,Goa,2025-09-15,2025-09-22,41886.79,0
133,Goa,2025-07-28,2025-08-01,12939.05,0
134,Manali,2025-06-06,2025-06-16,13134.61,1
135,Agra,2025-06-26,2025-07-03,7706.49,0
136,Agra,2025-11-20,2025-11-27,29344.01,0
137,Jaipur,2025-09-04,2025-09-10,23918.02,0
138,Jaipur,2025-11-16,2025-11-24,32257.69,1
139,Delhi,2025-07-22,2025-07-27,28162.89,1
140,Jaipur,2025-10-27,2025-11-03,10036.83,0
141,Goa,2025-09-12,2025-09-17,14066.08,1
142,Delhi,2025-06-02,2025-06-09,8483.65,1
143,Kerala,2025-09-20,2025-09-29,20589.76,1
144,Goa,2025-08-15,2025-08-21,16650.79,0
145,Chennai,2025-11-07,2025-11-16,13251.87,1
146,Kerala,2025-10-29,2025-11-05,31674.99,1
147,Varanasi,2025-10-19,2025-10-28,47083.94,0
148,Mumbai,2025-09-15,2025-09-23,35504.27,1
149,Kerala,2025-10-05,2025-10-08,28411.88,0
150,Manali,2025-10-17,2025-10-23,36355.17,0
151,Chennai,2025-09-05,2025-09-15,10723.74,1
152,Mumbai,2025-10-19,2025-10-24,29065.83,0
153,Manali,2025-08-02,2025-08-11,13955.45,1
154,Pondicherry,2025-07-27,2025-08-01,23419.95,0
155,Mumbai,2025-06-05,2025-06-13,46601.24,1
156,Kerala,2025-10-07,2025-10-10,47224.78,0
157,Varanasi,2025-07-19,2025-07-23,24157.66,1
158,Agra,2025-08-15,2025-08-22,39951.65,1
159,Mumbai,2025-07-23,2025-07-31,19711.72,0
160,Pondicherry,2025-07-01,2025-07-07,7562.46,0
161,Delhi,2025-10-25,2025-11-04,44655.96,1
162,Chennai,2025-06-04,2025-06-12,47646.08,0
163,Pondicherry,2025-07-27,2025-08-01,39643.30,1
164,Pondicherry,2025-06-21,2025-07-01,5758.25,1
165,Agra,2025-07-23,2025-08-01,46356.26,1
166,Goa,2025-11-09,2025-11-18,42191.20,1
167,Jaipur,2025-10-09,2025-10-12,11401.87,1
168,Chennai,2025-08-06,2025-08-16,49359.10,0
169,Mumbai,2025-10-01,2025-10-09,21333.10,1
170,Varanasi,2025-07-28,2025-08-03,27811.16,1
171,Pondicherry,2025-06-10,2025-06-13,23128.35,0
172,Varanasi,2025-08-01,2025-08-08,32699.26,0
173,Goa,2025-06-23,2025-06-27,33083.58,0
174,Goa,2025-10-10,2025-10-18,48547.06,1
175,Agra,2025-11-14,2025-11-18,42755.99,1
176,Varanasi,2025-07-26,2025-08-04,17378.76,1
177,Mumbai,2025-08-02,2025-08-07,29346.47,0
178,Varanasi,2025-08-01,2025-08-04,24132.69,1
179,Chennai,2025-08-20,2025-08-25,15627.38,0
180,Pondicherry,2025-11-22,2025-12-01,36207.91,1
181,Kerala,2025-08-25,2025-09-04,40059.72,0
182,Varanasi,2025-10-16,2025-10-26,27002.09,1
183,Delhi,2025-06-24,2025-07-01,31440.92,1
184,Varanasi,2025-06-21,2025-06-26,19206.63,1
185,Pondicherry,2025-07-01,2025-07-06,24185.79,1
186,Mumbai,2025-06-01,2025-06-10,26948.40,1
187,Chennai,2025-11-21,2025-11-29,13249.55,0
188,Varanasi,2025-06-02,2025-06-05,38996.38,0
189,Pondicherry,2025-10-27,2025-10-31,18997.55,0
190,Kerala,2025-09-21,2025-09-25,34376.60,0
191,Pondicherry,2025-09-12,2025-09-18,39793.96,0
192,Pondicherry,2025-11-25,2025-12-05,43003.04,0
193,Jaipur,2025-06-21,2025-06-24,19766.79,0
194,Varanasi,2025-06-20,2025-06-25,34715.35,1
195,Delhi,2025-06-19,2025-06-22,20579.10,1
196,Jaipur,2025-11-08,2025-11-11,24864.61,0
197,Jaipur,2025-10-31,2025-11-04,28130.90,0
198,Jaipur,2025-07-21,2025-07-29,39210.83,1
199,Mumbai,2025-06-27,2025-07-06,13659.04,1
200,Chennai,2025-07-20,2025-07-29,37890.39,1
201,Manali,2025-07-28,2025-08-02,35273.85,0
202,Kerala,2025-07-24,2025-07-31,13764.76,0
203,Agra,2025-06-12,2025-06-18,39080.78,1
204,Jaipur,2025-11-19,2025-11-26,48375.19,0
205,Jaipur,2025-06-28,2025-07-01,46524.53,0
206,Kerala,2025-07-07,2025-07-15,11440.72,0
207,Pondicherry,2025-08-06,2025-08-13,35062.88,0
208,Varanasi,2025-08-16,2025-08-24,16937.25,0
209,Manali,2025-10-10,2025-10-16,18070.40,1
210,Pondicherry,2025-07-26,2025-07-29,45813.87,0
211,Pondicherry,2025-08-15,2025-08-20,45339.13,0
212,Delhi,2025-11-21,2025-11-30,10978.58,1
213,Goa,2025-07-12,2025-07-21,37210.49,1
214,Manali,2025-09-23,2025-09-27,27975.71,1
215,Pondicherry,2025-08-19,2025-08-28,17078.66,0
216,Mumbai,2025-08-19,2025-08-23,9110.79,0
217,Varanasi,2025-08-18,2025-08-26,9470.19,1
218,Kerala,2025-11-04,2025-11-10,23568.58,1
219,Goa,2025-09-08,2025-09-17,31665.26,0
220,Varanasi,2025-09-24,2025-09-27,35276.45,0
221,Manali,2025-08-07,2025-08-13,29715.88,1
222,Chennai,2025-07-19,2025-07-29,13480.06,0
223,Manali,2025-08-24,2025-08-27,11143.17,1
224,Agra,2025-06-02,2025-06-10,33592.75,0
225,Agra,2025-08-02,2025-08-06,11341.35,0
226,Delhi,2025-09-10,2025-09-17,22648.12,1
227,Kerala,2025-09-26,2025-09-30,17576.80,0
228,Delhi,2025-08-17,2025-08-27,48982.79,0
229,Goa,2025-09-22,2025-09-25,38598.23,0
230,Varanasi,2025-07-27,2025-08-03,24022.68,0
231,Agra,2025-08-01,2025-08-06,21154.35,1
232,Agra,2025-11-22,2025-12-01,33948.10,0
233,Varanasi,2025-08-25,2025-09-01,20815.56,1
234,Goa,2025-09-24,2025-10-02,48606.93,0
235,Varanasi,2025-09-07,2025-09-16,16152.78,1
236,Mumbai,2025-08-08,2025-08-17,30359.36,1
237,Delhi,2025-10-29,2025-11-03,11064.81,0
238,Manali,2025-07-22,2025-07-27,6018.43,1
239,Chennai,2025-11-17,2025-11-26,5277.27,1
240,Delhi,2025-10-04,2025-10-09,37575.14,1
241,Kerala,2025-07-23,2025-08-02,23578.14,0
242,Chennai,2025-10-16,2025-10-20,21025.04,0
243,Manali,2025-06-21,2025-06-28,44784.03,0
244,Mumbai,2025-10-20,2025-10-24,21506.42,1
245,Agra,2025-06-11,2025-06-16,24410.81,0
246,Pondicherry,2025-10-07,2025-10-17,49134.07,0
247,Kerala,2025-08-26,2025-09-04,45971.43,0
248,Pondicherry,2025-09-16,2025-09-26,23161.85,0
249,Chennai,2025-10-07,2025-10-16,21728.75,0
250,Delhi,2025-08-04,2025-08-09,46389.08,0
251,Delhi,2025-10-08,2025-10-16,39944.21,1
252,Manali,2025-11-27,2025-12-04,10672.48,0
253,Goa,2025-06-17,2025-06-26,39719.79,1
254,Pondicherry,2025-10-25,2025-11-04,14761.23,1
255,Mumbai,2025-06-13,2025-06-16,33893.64,0
256,Goa,2025-11-12,2025-11-15,48284.35,1
257,Goa,2025-11-11,2025-11-21,22709.32,1
258,Agra,2025-08-29,2025-09-03,35397.00,1
259,Mumbai,2025-09-14,2025-09-21,14741.73,1
260,Goa,2025-11-03,2025-11-06,44763.32,0
261,Goa,2025-08-29,2025-09-04,16373.06,1
262,Pondicherry,2025-08-16,2025-08-22,20028.53,1
263,Manali,2025-09-14,2025-09-17,18766.04,1
264,Mumbai,2025-06-25,2025-07-03,7584.57,1
265,Goa,2025-10-04,2025-10-11,37284.70,0
266,Delhi,2025-06-13,2025-06-18,8813.17,0
267,Delhi,2025-11-04,2025-11-07,34247.19,1
268,Kerala,2025-09-07,2025-09-13,47182.56,1
269,Delhi,2025-11-06,2025-11-16,12829.68,1
270,Mumbai,2025-08-25,2025-09-02,26068.20,1
271,Mumbai,2025-08-31,2025-09-08,28674.57,0
272,Goa,2025-06-24,2025-07-02,6784.18,1
273,Kerala,2025-10-24,2025-10-29,23435.58,1
274,Pondicherry,2025-08-12,2025-08-17,7972.20,0
275,Delhi,2025-09-28,2025-10-06,35066.85,0
276,Varanasi,2025-10-12,2025-10-15,24691.64,0
277,Goa,2025-11-21,2025-12-01,45618.27,0
278,Agra,2025-07-16,2025-07-26,28605.31,1
279,Delhi,2025-09-25,2025-09-28,21934.41,1
280,Pondicherry,2025-07-27,2025-07-30,25043.09,0
281,Agra,2025-09-30,2025-10-07,39519.75,0
282,Chennai,2025-08-22,2025-08-29,45103.81,1
283,Agra,2025-09-06,2025-09-11,24148.33,1
284,Varanasi,2025-06-17,2025-06-23,17822.46,1
285,Jaipur,2025-06-12,2025-06-22,47093.87,1
286,Manali,2025-08-13,2025-08-21,38323.73,1
287,Pondicherry,2025-11-16,2025-11-21,27147.61,0
288,Jaipur,2025-07-31,2025-08-07,11854.35,0
289,Manali,2025-07-15,2025-07-23,41925.14,1
290,Jaipur,2025-09-19,2025-09-26,12088.42,0
291,Chennai,2025-11-04,2025-11-09,13811.32,0
292,Delhi,2025-09-04,2025-09-12,32451.45,0
293,Manali,2025-09-25,2025-10-05,46062.59,0
294,Varanasi,2025-06-25,2025-06-28,40832.51,0
295,Manali,2025-10-22,2025-10-28,49072.20,0
296,Varanasi,2025-08-16,2025-08-19,9764.39,1
297,Chennai,2025-07-16,2025-07-23,48208.46,1
298,Varanasi,2025-11-12,2025-11-18,35615.21,1
299,Goa,2025-06-03,2025-06-09,35600.70,1
300,Goa,2025-07-25,2025-08-02,13032.67,1
